,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,,,,,,,,,,,,,,,,,,,,
1,,SmartFactory PPE Detection Training Metrics,,,,,,,,,,,,,,,,,,,
2,,"Dataset: SH17 (8,099 images, 17 classes) | Model: YOLOv11l",,,,,,,,,,,,,,,,,,,
3,,⭐ Best Epoch: Epoch 119 (mAP50: 0.7139),,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,
6,,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
7,,1,1302.98,1.27621,2.75124,1.31349,0.63212,0.39087,0.41065,0.24588,1.35183,1.82717,1.24748,0.00999,0.00333,0.00999,0.00333,0.00999,0.00333,0.00999,0.00333
8,,2,2229.42,1.32512,2.42049,1.30793,0.76546,0.35128,0.39292,0.23533,1.37894,1.89621,1.26909,0.01999,0.00666,0.01999,0.00666,0.01999,0.00666,0.01999,0.00666
9,,3,3144.56,1.44764,2.82346,1.39524,0.76004,0.29311,0.32886,0.18645,1.53706,2.40882,1.3893,0.02998,0.00999,0.02998,0.00999,0.02998,0.00999,0.02998,0.00999
